Game,Date/Season,Winning team,Score,Losing team,Venue,City,Attendance,Referee
I[sb 1],"January 15, 1967 (1966 AFL/1966 NFL)","Green Bay Packersn(1, 1-0)",35-10,"Kansas City Chiefsa(1, 0-1)",Los Angeles Memorial Coliseum,"Los Angeles, California[sb 2]","61,946",Norm Schachter
II[sb 1],"January 14, 1968 (1967 AFL/1967 NFL)","Green Bay Packersn(2, 2-0)",33-14,"Oakland Raidersa(1, 0-1)",Miami Orange Bowl,"Miami, Florida[sb 3]","75,546",Jack Vest
III[sb 1],"January 12, 1969 (1968 AFL/1968 NFL)","New York Jetsa(1, 1-0)",16-7,"Baltimore Coltsn(1, 0-1)",Miami Orange Bowl (2),"Miami, Florida (2)[sb 3]","75,389",Tom Bell
IV[sb 1],"January 11, 1970 (1969 AFL/1969 NFL)","Kansas City Chiefsa(2, 1-1)",23-7,"Minnesota Vikingsn(1, 0-1)",Tulane Stadium,"New Orleans, Louisiana","80,562",John McDonough
V,"January 17, 1971 (1970)","Baltimore ColtsA(2, 1-1)",16-13,"Dallas CowboysN(1, 0-1)",Miami Orange Bowl (3),"Miami, Florida (3)[sb 3]","79,204",Norm Schachter
VI,"January 16, 1972 (1971)","Dallas CowboysN(2, 1-1)",24-3,"Miami DolphinsA(1, 0-1)",Tulane Stadium (2),"New Orleans, Louisiana (2)","81,023",Jim Tunney
VII,"January 14, 1973 (1972)","Miami DolphinsA(2, 1-1)",14-7,"Washington RedskinsN(1, 0-1)",Los Angeles Memorial Coliseum (2),"Los Angeles, California (2)[sb 2]","90,182",Tom Bell
VIII,"January 13, 1974 (1973)","Miami DolphinsA(3, 2-1)",24-7,"Minnesota VikingsN(2, 0-2)",Rice Stadium[sb 4],"Houston, Texas","71,882",Ben Dreith
IX,"January 12, 1975 (1974)","Pittsburgh SteelersA(1, 1-0)",16-6,"Minnesota VikingsN(3, 0-3)",Tulane Stadium (3),"New Orleans, Louisiana (3)","80,997",Bernie Ulman
X,"January 18, 1976 (1975)","Pittsburgh SteelersA(2, 2-0)",21-17,"Dallas CowboysN(3, 1-2) [W]",Miami Orange Bowl (4),"Miami, Florida (4)[sb 3]","80,187",Norm Schachter
XI,"January 9, 1977 (1976)","Oakland RaidersA(2, 1-1)",32-14,"Minnesota VikingsN(4, 0-4)",Rose Bowl[sb 5],"Pasadena, California (3)[sb 2]","103,438",Jim Tunney
XII,"January 15, 1978 (1977)","Dallas CowboysN(4, 2-2)",27-10,"Denver BroncosA(1, 0-1)",Louisiana Superdome[sb 6],"New Orleans, Louisiana (4)","76,400",Jim Tunney
XIII,"January 21, 1979 (1978)","Pittsburgh SteelersA(3, 3-0)",35-31,"Dallas CowboysN(5, 2-3)",Miami Orange Bowl (5),"Miami, Florida (5)[sb 3]","79,484",Pat Haggerty
XIV,"January 20, 1980 (1979)","Pittsburgh SteelersA(4, 4-0)",31-19,"Los Angeles RamsN(1, 0-1)",Rose Bowl (2)[sb 5][sb 7],"Pasadena, California (4)[sb 2]","103,985",Fred Silva
XV,"January 25, 1981 (1980)","Oakland RaidersA(3, 2-1) [W]",27-10,"Philadelphia EaglesN(1, 0-1)",Louisiana Superdome (2)[sb 6],"New Orleans, Louisiana (5)","76,135",Ben Dreith
XVI,"January 24, 1982 (1981)","San Francisco 49ersN(1, 1-0)",26-21,"Cincinnati BengalsA(1, 0-1)",Pontiac Silverdome,"Pontiac, Michigan[sb 8]","81,270",Pat Haggerty
XVII,"January 30, 1983 (1982)","Washington RedskinsN(2, 1-1)",27-17,"Miami DolphinsA(4, 2-2)",Rose Bowl (3)[sb 5],"Pasadena, California (5)[sb 2]","103,667",Jerry Markbreit
XVIII,"January 22, 1984 (1983)","Los Angeles RaidersA(4, 3-1)",38-9,"Washington RedskinsN(3, 1-2)",Tampa Stadium,"Tampa, Florida","72,920",Gene Barth
XIX,"January 20, 1985 (1984)","San Francisco 49ersN(2, 2-0)",38-16,"Miami DolphinsA(5, 2-3)",Stanford Stadium[sb 9],"Stanford, California[sb 10]","84,059",Pat Haggerty
XX,"January 26, 1986 (1985)","Chicago BearsN(1, 1-0)",46-10,"New England PatriotsA(1, 0-1) [W]",Louisiana Superdome (3)[sb 6],"New Orleans, Louisiana (6)","73,818",Red Cashion
XXI,"January 25, 1987 (1986)","New York GiantsN(1, 1-0)",39-20,"Denver BroncosA(2, 0-2)",Rose Bowl (4)[sb 5],"Pasadena, California (6)[sb 2]","101,063",Jerry Markbreit
