Team,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Year
Eagles,"$13,385,137 ","$10,203,112 ","$19,241,989 ","$5,509,036 ","$25,664,899 ","$74,004,173 ","$5,264,666 ","$10,241,101 ","$10,004,817 ","$6,920,158 ","$6,032,738 ","$38,463,480 ",2013
Seahawks,"$1,557,085 ","$10,799,653 ","$16,831,423 ","$12,778,788 ","$27,955,261 ","$69,922,210 ","$7,701,509 ","$25,013,832 ","$7,377,232 ","$8,579,619 ","$3,507,877 ","$52,180,069 ",2013
Titans,"$6,336,958 ","$15,376,098 ","$12,686,896 ","$6,979,500 ","$26,721,984 ","$68,101,436 ","$6,496,528 ","$8,776,293 ","$5,740,835 ","$10,777,066 ","$9,602,477 ","$41,393,199 ",2013
Broncos,"$18,716,295 ","$5,070,632 ","$10,120,554 ","$8,013,902 ","$25,652,095 ","$67,573,478 ","$6,880,138 ","$10,234,767 ","$8,030,669 ","$5,894,346 ","$17,559,225 ","$48,599,145 ",2013
Giants,"$21,998,400 ","$5,036,739 ","$8,677,626 ","$2,998,913 ","$24,235,900 ","$62,947,578 ","$5,118,995 ","$9,523,813 ","$7,916,847 ","$12,704,990 ","$11,202,110 ","$46,466,755 ",2013
Texans,"$11,756,250 ","$10,825,134 ","$14,247,672 ","$6,948,519 ","$18,690,874 ","$62,468,449 ","$15,386,734 ","$3,770,636 ","$7,593,313 ","$7,816,547 ","$16,655,776 ","$51,223,006 ",2013
Saints,"$18,193,235 ","$9,159,749 ","$11,679,433 ","$3,245,951 ","$18,150,025 ","$60,428,393 ","$6,485,380 ","$14,326,594 ","$11,034,166 ","$9,960,582 ","$11,598,369 ","$53,405,091 ",2013
Vikings,"$8,470,554 ","$15,752,460 ","$10,378,281 ","$4,582,245 ","$20,329,032 ","$59,512,572 ","$11,556,066 ","$24,552,100 ","$13,577,945 ","$5,691,438 ","$4,206,849 ","$59,584,398 ",2013
Chargers,"$15,996,516 ","$5,201,250 ","$10,926,398 ","$8,795,715 ","$17,428,226 ","$58,348,105 ","$6,241,425 ","$13,838,120 ","$4,555,052 ","$11,490,435 ","$4,839,588 ","$40,964,620 ",2013
Falcons,"$10,920,140 ","$6,293,062 ","$17,406,642 ","$6,938,146 ","$16,464,048 ","$58,022,038 ","$9,806,798 ","$8,139,270 ","$8,433,728 ","$7,249,890 ","$9,276,181 ","$42,905,867 ",2013
Lions,"$21,556,666 ","$3,987,009 ","$15,383,546 ","$4,207,277 ","$12,601,451 ","$57,735,949 ","$14,671,559 ","$7,814,297 ","$10,468,126 ","$4,758,334 ","$6,133,807 ","$43,846,123 ",2013
49ers,"$2,897,535 ","$9,182,062 ","$16,963,177 ","$10,569,598 ","$17,581,156 ","$57,193,528 ","$11,028,483 ","$10,194,288 ","$7,666,512 ","$11,326,955 ","$13,185,741 ","$53,401,979 ",2013
Jets,"$14,759,018 ","$4,154,535 ","$12,811,933 ","$2,593,765 ","$20,679,882 ","$54,999,133 ","$5,447,833 ","$4,476,989 ","$15,203,295 ","$3,028,114 ","$13,025,418 ","$41,181,649 ",2013
Packers,"$13,013,000 ","$2,429,420 ","$10,223,980 ","$11,341,695 ","$17,211,503 ","$54,219,598 ","$15,831,195 ","$12,650,974 ","$9,100,786 ","$4,969,273 ","$13,957,143 ","$56,509,371 ",2013
Patriots,"$14,603,953 ","$3,682,367 ","$8,749,814 ","$4,150,882 ","$22,775,490 ","$53,962,506 ","$15,169,500 ","$6,420,702 ","$10,801,171 ","$7,386,653 ","$8,618,787 ","$48,396,813 ",2013
Commanders,"$5,972,967 ","$2,212,882 ","$19,735,321 ","$4,645,357 ","$20,025,614 ","$52,592,141 ","$14,227,749 ","$9,152,416 ","$10,476,684 ","$4,619,719 ","$7,102,431 ","$45,578,999 ",2013
Bears,"$11,276,471 ","$12,036,166 ","$16,580,067 ","$2,495,000 ","$10,071,052 ","$52,458,756 ","$10,999,363 ","$18,744,765 ","$12,510,915 ","$3,802,254 ","$15,375,000 ","$61,432,297 ",2013
Panthers,"$7,579,454 ","$9,290,450 ","$11,041,036 ","$4,325,000 ","$18,981,126 ","$51,217,066 ","$5,096,152 ","$11,629,844 ","$12,335,911 ","$6,639,853 ","$3,244,456 ","$38,946,216 ",2013
Cardinals,"$6,172,993 ","$5,306,754 ","$15,022,466 ","$4,425,078 ","$19,171,690 ","$50,098,981 ","$20,498,000 ","$5,347,625 ","$7,964,030 ","$2,809,618 ","$10,407,900 ","$47,027,173 ",2013
Cowboys,"$13,818,982 ","$2,257,011 ","$8,120,768 ","$5,623,758 ","$19,470,710 ","$49,291,229 ","$4,133,225 ","$20,864,805 ","$7,285,429 ","$3,626,564 ","$12,623,808 ","$48,533,831 ",2013
